Date,DailyCases,CumulativeCases,Deaths
20200228,1,3,0
20200229,0,3,0
20200301,2,5,0
20200302,1,6,0
20200303,3,9,0
20200304,6,15,0
20200305,2,17,0
20200306,6,23,0
20200307,6,29,0
20200308,3,32,0
20200309,16,48,0
20200310,21,69,0
20200311,26,95,0
20200312,38,133,1
20200313,48,181,1
20200314,19,200,3
20200315,12,212,3
20200316,21,233,4
20200317,43,276,6
20200318,41,317,6
20200319,49,366,9
20200320,83,449,14
20200321,66,515,20
20200322,75,590,25
20200323,138,728,29
20200324,168,896,36
20200325,188,1084,46
20200326,223,1307,57
20200327,274,1581,68
20200328,205,1786,97
20200329,197,1983,117
20200330,320,2303,144
20200331,340,2643,182
20200401,388,3031,226
20200402,351,3382,262
20200403,379,3761,319
20200404,259,4020,346
20200405,225,4245,390
20200406,404,4649,452
20200407,351,5000,499
20200408,343,5343,551
20200409,304,5647,614
20200410,329,5976,669
20200411,185,6161,721
20200412,220,6381,767
20200413,359,6740,806
20200414,346,7086,856
20200415,331,7417,897
20200416,427,7844,938
20200417,394,8238,975
20200418,264,8502,1026
20200419,159,8661,1070
20200420,776,9437,1131
20200421,399,9836,1181
20200422,340,10176,1225
20200423,314,10490,1273
20200424,305,10795,1311
20200425,184,10979,1358
20200426,172,11151,1401
20200427,430,11581,1461
20200428,380,11961,1501
20200429,430,12391,1538
20200430,335,12726,1581
20200501,368,13094,1629
20200502,217,13311,1673
20200503,189,13500,1709
20200504,330,13830,1749
20200505,289,14119,1799
20200506,306,14425,1842
20200507,290,14715,1881
20200508,254,14969,1915
20200509,177,15146,1949
20200510,150,15296,1976
20200511,262,15558,2007
20200512,230,15788,2037
20200513,198,15986,2079
20200514,212,16198,2113
20200515,152,16350,2137
20200516,103,16453,2165
20200517,92,16545,2191
20200518,140,16685,2214
20200519,182,16867,2242
20200520,121,16988,2263
20200521,111,17099,2286
20200522,92,17191,2302
20200523,50,17241,2311
20200524,54,17295,2318
20200525,97,17392,2332
20200526,77,17469,2345
20200527,66,17535,2361
20200528,55,17590,2377
20200529,29,17619,2388
20200530,40,17659,2394
20200531,23,17682,2400
20200601,38,17720,2403
20200602,45,17765,2409
20200603,35,17800,2417
20200604,35,17835,2419
20200605,24,17859,2428
20200606,22,17881,2431
20200607,17,17898,2438
20200608,18,17916,2443
20200609,27,17943,2444
20200610,29,17972,2449
20200611,21,17993,2451
20200612,30,18023,2453
20200613,23,18046,2456
20200614,13,18059,2460
20200615,21,18080,2463
20200616,17,18097,2469
20200617,33,18130,2472
